资料标题,标准名称,扩展名,资料类型,主题层级,原文件路径,预览图路径,文本文件路径,页数,首个有文字页,有文字页数,文本字符数,文件大小MB,图片宽度,图片高度,关键词,参考费用,推荐天数,舒适程度,栏目清单,栏目命中数,摘要,内容哈希,重复组,重复组大小,是否最佳版本
01中国旅游地图,01中国旅游地图,.jpg,地图图片,全国,D:\wzb\全部131个景点\01中国旅游地图.jpg,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_001.png,,0,0,0,0,13.71,6130,4486,,,,,,0,地图或图片素材，未进行文本提取。,e8cf06030bf79e3c414a09928b8111f66d076e39570407796673ac6dd91701b4,地图图片:01中国旅游地图,1,是
02中华人民共和国旅游景点地图,02中华人民共和国旅游景点地图,.jpg,地图图片,全国,D:\wzb\全部131个景点\02中华人民共和国旅游景点地图.jpg,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_002.png,,0,0,0,0,75.82,18494,13399,,,,,,0,地图或图片素材，未进行文本提取。,fe37431099ebb19f255f76c34439d89608659db6143d07e4f4f1250890781b65,地图图片:02中华人民共和国旅游景点地图,1,是
中国,中国,.jpg,图片素材,全国,D:\wzb\全部131个景点\中国.jpg,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_006.png,,0,0,0,0,1.17,2069,2069,,,,,,0,地图或图片素材，未进行文本提取。,b84bf18bb0daa0d2dd4652fd45ac5aac19ba7e5473f14a03fc8bb0565b04b2a8,图片素材:中国,1,是
湖南红色旅游地图,湖南红色旅游地图,.jpg,地图图片,区域/省份,D:\wzb\全部131个景点\湖南红色旅游地图.JPG,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_087.png,,0,0,0,0,65.09,6197,8598,,,,,,0,地图或图片素材，未进行文本提取。,012cac8e892bb52c6721ad1b80b918b0dc9377aa4975eedfafa1f51ce7206d1d,地图图片:湖南红色旅游地图,1,是
