来源文件,主题,原始记录数,清洗后记录数,去重后保留数,空标题记录数,空详情链接记录数,抓取日期
小红书-东三省旅游景区.json,东三省旅游景区,105,105,105,28,8,2026-03-25
小红书-云南旅游景区.json,云南旅游景区,101,101,101,29,6,2026-03-25
小红书-全国旅游景区1.json,全国旅游景区1,68,67,65,17,0,2026-03-25
小红书-全国旅游景区2.json,全国旅游景区2,98,97,76,18,0,2026-03-25
小红书-新疆5A旅游景区.json,新疆5A旅游景区,103,103,93,22,7,2026-03-25
小红书-新疆旅游景区.json,新疆旅游景区,104,104,100,29,6,2026-03-25
小红书-江苏省旅游景区.json,江苏省旅游景区,105,104,86,35,5,2026-03-25
小红书-西安旅游景点.json,西安旅游景点,105,105,102,21,6,2026-03-25
小红书-西安旅游景点2.json,西安旅游景点2,105,105,49,24,9,2026-03-25
